imr  咸
imz  戌
ine  永
inl  祁
inm  廢
inn  序
io   次
iog  准
ioo  座
ioi  冷
iok  矣
iop  恣
ioq  府
ior  咨
ion  瓷
iov  姿
ip   感
ipc  麒
ipcz 鏖
ipe  慶
ipf  熊
ipfz 鳶
ipd  麋
ipg  塵
iph  祕
ipn  麂
ipp  態
ippz 庇
ipq  麟
ipqz 麝
ipu  庖
ipz  凝
ipzz 弋
iq   專
iqo  腐
ir   台
irj  禪
irp  怠
iru  祝
iruz 祀
is   成
isf  馮
ish  廖
isk  敷
isp  廳
isr  祠
ist  盛
it   戒
itb  席
itc  廉
itcz 祺
ite  度
itf  庶
itl  廝
itp  鹿
itq  祥
itqz 庠
itt  禮
itz  弁
iu   視
iuo  庾
iv   威
ive  祿
iw   福
ix   Ｉ
ixx  ｉ
iyc  禎
iyd  凜
iyf  戚
iyl  廓
iyp  龐
iyr  店
iyt  廬
iyv  禳
iz   戈
izg  庭
izz  祉
j    十
jaf  煮
jap  輥
jav  宴
jb   直
jc   真
jbd  孛
jbf  察
jbj  南
jbm  宜
jbv  囊
jbvz 輞
jcz  穴
jcb  窩
jcc  顛
jcg  窒
jcw  窗
jcm  空
jcn  究
jcnz 穹
jcr  容
jcs  窄
jd   宋
jk   教
jdq  韓
jds  勃
je   支
jee  輟
jef  繫
jeg  窪
jem  翅
jqo  麩
jeq  擊
jer  客
jf   寫
jfb  宵
jfq  轔
jg   室
jgc  竇
jgf  鶴
jqr  害
jgv  轅
jh   穿
jhb  竊
jhbz 轎
jhc  賓
jhk  竅
jhl  斬
jhn  窮
jho  軼
jhp  宅
jhq  牢
jhr  窖
jhw  審
jib  輔
jic  戴
jid  栽
jig  截
jij  載
jck  突
jim  軾
jip  惠
jiq  博
jiv  裁
jj   車
jjb  朝
jji  戟
jjj  轟
jjn  乾
jjr  轄
jjz  廾
jkz  丈
ja   者
jkb  宥
jkd  孝
jkf  寮
jkg  釐
jki  宏
jkn  軌
jkq  犛
jkr  寄
jks  協
jku  窺
jl   事
jla  暫
jlb  帘
jlc  寅
jlcz 鏨
jlg  塹
jli  蠹
jlk  吏
jlo  窕
jlr  官
jlu  軋
jlv  妻
jlw  宙
jlwz 軸
jm   士
jma  宣
jmb  輛
jmc  寶
jmd  宇
jme  寇
jmf  宗
jmg  輊
jmj  軒
jml  麵
jmm  輕
fo   家
jmr  軻
jmh  寡
jmu  完
jmuz 軏
jmuz 軛
jmv  宸
jmw  輻
jn   字
jnm  窿
jno  軟
jnu  宛
jnuz 輓
joa  宿
job  輪
jod  榦
joi  麥
joj  幹
jojz 斡
jom  翰
jon  輸
jp   它
jpa  耆
jpf  麴
jpg  耋
jpi  蜜
jpj  宰
jpn  寧
jpq  耄
jpu  密
jq   守
jqk  輳
jqp  憲
jr   古
jrb  胡
jrc  額
jrf  鴣
jir  哉
jrj  輯
jrjz 辜
jrk  故
jrn  割
jrr  宮
jrrz 豁
jru  克
jrv  喪
js   考
jsh  寥
jsi  軔
jsl  宦
jsr  窘
jsu  窟
jsuz 輒
jsv  輾
jt   卉
jtc  賽
jtd  寨
jtf  騫
jtfz 窯
jtg  塞
jti  寬
jtk  寞
jtq  搴
jty  寒
ju   七
jud  寐
jun  剋
junz 剜
jvr  寤
juu  兢
jcv  竄
jv   安
jvd  案
jve  寢
jvf  索
jvs  窈
jvw  輜
jw   富
jwb  寓
jwc  實
jwd  窠
jwv  寰
jww  矗
jx   Ｊ
jxx  ｊ
jy   較
jye  寂
jyk  轍
jyp  寵
jz   定
k    大
kaa  猖
kah  瘍
kam  猩
kamz 疸
kau  疤
kv   狠
kav  痕
kb   有
kbb  猾
kbc  狽
kbd  猙
kbl  郁
kbm  狙
kbmz 疽
kc   賀
kd   殺
kdc  獺
kdcz 癩
kdd  痲
kddz 痳
kde  疲
kdm  弒
kdn  剎
ke   友
key  疼
kf   灰
kff  痰
kfs  癆
kft  盔
kfz  疢
kg   在
kgg  奎
kgp  痣
kgq  痔
kgv  猿
koh  疹
khb  獅
