ch,rank,yyutping
岩,0989,ngaam,4
癌,2827,ngaam,4
嵒,4834,ngaam,4
巖,7078,ngaam,4
晏,4209,ngaan,3
顏,1342,ngaan,4
眼,0459,ngaan,5
雁,3026,ngaan,6
硬,1087,ngaang,6
鴨,1650,ngaap,3
壓,0278,ngaat,3
肴,2575,ngaau,4
淆,2867,ngaau,4
餚,3633,ngaau,4
崤,6336,ngaau,4
殽,6381,ngaau,4
爻,6413,ngaau,4
咬,1767,ngaau,5
矮,2077,ngai,2
危,0948,ngai,4
巍,3057,ngai,4
倪,3736,ngai,4
霓,4287,ngai,4
嵬,4705,ngai,4
猊,6764,ngai,4
鯢,7042,ngai,4
蟻,3684,ngai,5
艤,5485,ngai,5
隗,5849,ngai,5
藝,0519,ngai,6
魏,1494,ngai,6
毅,1833,ngai,6
偽,1836,ngai,6
羿,3328,ngai,6
詣,4097,ngai,6
睨,4994,ngai,6
囈,5714,ngai,6
蓺,5990,ngai,6
暗,1056,ngam,3
奀,7464,ngan,1
銀,0784,ngan,4
垠,3085,ngan,4
嚚,5128,ngan,4
鄞,6026,ngan,4
狺,6418,ngan,4
噏,7466,ngap,1
屹,3805,ngat,6
兀,3996,ngat,6
杌,6369,ngat,6
阢,6547,ngat,6
卼,6596,ngat,6
歐,1036,ngau,1
勾,1745,ngau,1
鉤,2059,ngau,1
鈎,7080,ngau,1
牛,0926,ngau,4
偶,1571,ngau,5
耦,2756,ngau,5
藕,4016,ngau,5
俄,1255,ngo,4
吪,2096,ngo,4
哦,2433,ngo,4
鵝,2487,ngo,4
娥,2996,ngo,4
峨,3144,ngo,4
蛾,4190,ngo,4
訛,4250,ngo,4
莪,5654,ngo,4
鋨,6989,ngo,4
我,0017,ngo,5
餓,2065,ngo,6
臥,2151,ngo,6
愛,0579,ngoi,3
璦,5775,ngoi,3
呆,1606,ngoi,4
騃,7074,ngoi,4
獃,7136,ngoi,4
外,0116,ngoi,6
礙,1502,ngoi,6
惡,1043,ngok,3
噩,4440,ngok,3
噁,7388,ngok,3
鄂,2341,ngok,6
岳,2386,ngok,6
鍔,3470,ngok,6
愕,3828,ngok,6
萼,4129,ngok,6
顎,4386,ngok,6
齶,4474,ngok,6
諤,5016,ngok,6
嶽,5134,ngok,6
鱷,5289,ngok,6
鶚,5859,ngok,6
安,0316,ngon,1
胺,1954,ngon,1
銨,2513,ngon,1
案,0563,ngon,3
岸,1229,ngon,6
骯,4200,ngong,1
昂,1956,ngong,4
戇,5573,ngong,6
嗷,4477,ngou,1
嶴,6646,ngou,3
熬,2673,ngou,4
鰲,2871,ngou,4
敖,4914,ngou,4
翱,4935,ngou,4
鏖,5381,ngou,4
遨,6018,ngou,4
璈,6167,ngou,4
驁,6564,ngou,4
爊,6755,ngou,4
聱,7379,ngou,4
鼇,7380,ngou,4
傲,2528,ngou,6
屋,0950,nguk,1
匿,3395,nik,1
溺,3984,nik,1
昵,4518,nik,1
慝,6670,nik,1
暱,7382,nik,1
粘,1615,nim,1
黏,1800,nim,1
拈,3308,nim,1
捻,2078,nim,2
鯰,4631,nim,4
念,0728,nim,6
唸,2981,nim,6
年,0039,nin,4
碾,3252,nin,5
涊,5603,nin,5
蹍,5827,nin,5
寧,0845,ning,4
嚀,4204,ning,4
獰,4212,ning,4
苧,4282,ning,4
薴,5993,ning,4
聹,6861,ning,4
甯,7381,ning,4
濘,3965,ning,6
佞,5705,ning,6
鎳,2974,nip,1
捏,2525,nip,6
涅,2739,nip,6
聶,2830,nip,6
躡,4153,nip,6
鑷,4196,nip,6
顳,5694,nip,6
隉,7005,nip,6
鳥,1710,niu,5
裊,4192,niu,5
褭,6221,niu,5
蔦,6899,niu,5
嫋,7383,niu,5
嬝,7384,niu,5
尿,2161,niu,6
挪,2489,no,4
儺,6299,no,4
懦,3958,no,6
糯,7386,no,6
娘,0938,noeng,4
孃,7375,noeng,4
內,0138,noi,6
耐,0963,noi,6
奈,2277,noi,6
倷,6296,noi,6
諾,1967,nok,6
囊,2309,nong,4
瓤,4416,nong,4
囔,4641,nong,4
攮,6360,nong,5
奴,1235,nou,4
孥,4084,nou,4
帑,5304,nou,4
駑,6560,nou,4
努,1023,nou,5
腦,1033,nou,5
惱,2502,nou,5
瑙,4246,nou,5
弩,4648,nou,5
砮,5957,nou,5
怒,1614,nou,6
衄,6932,nuk,6
農,0236,nung,4
濃,0994,nung,4
膿,3445,nung,4
噥,4640,nung,4
儂,5399,nung,4
穠,5962,nung,4
弄,1351,nung,6
暖,1596,nyun,5
嫩,1679,nyun,6
Ｏ,7390,Ｏ
柯,1481,o,1
軻,3650,o,1
珂,4601,o,1
屙,4907,o,1
婀,5302,o,1
嚄,6086,o,2
哀,2047,oi,1
噯,2976,oi,2
藹,3647,oi,2
靄,4690,oi,2
曖,5226,oi,2
毐,6138,oi,2
靉,6551,oi,2
薆,6906,oi,3
堊,4969,ok,3
氨,1299,on,1
桉,2591,on,1
鞍,3154,on,1
按,0461,on,3
摁,5740,on,3
盎,4092,ong,3
襖,3293,ou,2
媼,6626,ou,2
奧,1686,ou,3
澳,2291,ou,3
懊,3763,ou,3
Ｐ,7405,Ｐ
趴,4152,paa,1
怕,0886,paa,3
爬,1637,paa,4
耙,2554,paa,4
扒,2654,paa,4
琶,4180,paa,4
掱,4912,paa,4
朳,6701,paa,4
杷,7392,paa,4
派,0466,paai,3
蒎,6896,paai,3
排,0550,paai,4
牌,1598,paai,4
俳,4548,paai,4
啪,3821,paak,1
拍,1408,paak,3
泊,2013,paak,3
柏,2075,paak,3
帕,2588,paak,3
魄,2821,paak,3
珀,4856,paak,3
攀,2364,paan,1
扳,2829,paan,1
盼,2378,paan,3
袢,6935,paan,3
襻,6943,paan,3
烹,2135,paang,1
抨,3232,paang,1
棚,1862,paang,4
膨,1863,paang,4
彭,2067,paang,4
鵬,2420,paang,4
硼,3192,paang,4
澎,3678,paang,4
蟛,6002,paang,4
棒,1714,paang,5
拋,1813,paau,1
跑,0655,paau,2
炮,1168,paau,3
泡,1322,paau,3
豹,3012,paau,3
趵,5509,paau,3
皰,6175,paau,3
砲,7395,paau,3
刨,2282,paau,4
咆,3957,paau,4
庖,5730,paau,4
匏,6593,paau,4
批,0525,pai,1
睥,7084,pai,5
噴,1259,pan,3
頻,0727,pan,4
貧,1359,pan,4
顰,7018,pan,4
玭,7394,pan,4
牝,6157,pan,5
朋,1333,pang,4
憑,1690,pang,4
匹,2130,pat,1
瓿,5329,pau,2
掊,6114,pau,4
抔,6676,pau,4
披,2209,pei,1
呸,4510,pei,1
砒,4559,pei,1
鈹,4886,pei,1
狉,4921,pei,1
丕,5292,pei,1
伾,5395,pei,1
鄙,2833,pei,2
痞,3968,pei,2
仳,5394,pei,2
圮,5874,pei,2
苤,6888,pei,2
譬,2747,pei,3
屁,2760,pei,3
嬖,5880,pei,3
淠,6143,pei,3
濞,6403,pei,3
帔,7398,pei,3
皮,0734,pei,4
疲,2136,pei,4
脾,2550,pei,4
毗,3906,pei,4
琵,4179,pei,4
郫,4541,pei,4
鼙,5392,pei,4
蚍,5658,pei,4
貔,6234,pei,4
鈚,6529,pei,4
陴,7004,pei,4
埤,7083,pei,4
枇,7399,pei,4
婢,3636,pei,5
劈,2808,pek,3
呯,7400,peng,4
辟,1809,pik,1
闢,3015,pik,1
僻,3101,pik,1
霹,4075,pik,1
癖,4247,pik,1
甓,4306,pik,1
澼,4596,pik,1
釽,6254,pik,1
鷿,7061,pik,1
編,0925,pin,1
篇,1096,pin,1
偏,1115,pin,1
翩,3443,pin,1
片,0468,pin,3
遍,1038,pin,3
騙,1795,pin,3
駢,4891,pin,4
緶,5168,pin,4
蹁,5673,pin,4
諞,6950,pin,4
拚,2250,ping,1
砰,3848,ping,1
怦,4239,ping,1
姘,5411,ping,1
娉,6327,ping,1
聘,2678,ping,3
拼,2690,ping,3
平,0125,ping,4
評,0896,ping,4
瓶,1562,ping,4
屏,1986,ping,4
萍,2305,ping,4
蘋,2398,ping,4
坪,2736,ping,4
洴,2861,ping,4
帡,6650,ping,4
撇,2961,pit,3
瞥,3744,pit,3
氕,6382,pit,3
飄,1910,piu,1
漂,1911,piu,1
縹,4533,piu,1
嘌,4967,piu,1
摽,5742,piu,1
螵,6924,piu,1
票,1527,piu,3
驃,6040,piu,3
瓢,4040,piu,4
嫖,6329,piu,4
鰾,4028,piu,5
瞟,4064,piu,5
剽,5403,piu,5
殍,5920,piu,5
慓,6669,piu,5
頗,1995,po,1
棵,2461,po,1
叵,5033,po,2
笸,5165,po,2
破,0541,po,3
婆,1563,po,4
皤,6798,po,4
撲,1896,pok,3
樸,2290,pok,3
朴,3170,pok,3
粕,3529,pok,3
噗,3757,pok,3
璞,4060,pok,3
釙,4542,pok,3
扑,5739,pok,3
滂,5322,pong,1
謗,3332,pong,3
嗙,6603,pong,3
旁,1147,pong,4
龐,2440,pong,4
螃,4735,pong,4
徬,7403,pong,4
蚌,2694,pong,5
鋪,1575,pou,1
普,0778,pou,2
譜,1594,pou,2
甫,2366,pou,2
圃,2641,pou,2
脯,3062,pou,2
溥,3939,pou,2
鐠,4471,pou,2
氆,5599,pou,2
舖,3661,pou,3
葡,1950,pou,4
浦,2477,pou,4
蒲,2486,pou,4
袍,2769,pou,4
菩,3495,pou,4
匍,4164,pou,4
抱,1453,pou,5
坯,1873,pui,1
胚,2267,pui,1
醅,6524,pui,1
配,0511,pui,3
佩,2190,pui,3
沛,2878,pui,3
珮,3887,pui,3
霈,4889,pui,3
培,0857,pui,4
陪,1904,pui,4
賠,2167,pui,4
徘,3355,pui,4
裴,4095,pui,4
倍,0889,pui,5
碚,5336,pui,5
潘,2402,pun,1
判,0591,pun,3
泮,3115,pun,3
盤,1010,pun,4
盆,1696,pun,4
磐,4458,pun,4
槃,5588,pun,4
碰,1471,pung,3
掽,5425,pung,3
踫,5512,pung,3
蓬,2103,pung,4
篷,2602,pung,4
潑,2009,put,3
醱,5020,put,3
Ｑ,7406,Ｑ
Ｒ,7407,Ｒ
Ｓ,7440,Ｓ
沙,0826,saa,1
紗,1244,saa,1
砂,1555,saa,1
啥,1666,saa,1
莎,3362,saa,1
卅,3841,saa,1
鯊,4752,saa,1
痧,5462,saa,1
裟,5664,saa,1
唦,7408,saa,1
灑,2655,saa,2
耍,2805,saa,2
洒,2978,saa,2
嘥,7424,saai,1
徙,2035,saai,2
舐,3854,saai,2
璽,4782,saai,2
葸,5987,saai,2
屣,6335,saai,2
纚,6459,saai,2
蓰,6478,saai,2
枲,6706,saai,2
晒,2424,saai,3
曬,2755,saai,3
三,0065,saam,1
衫,2468,saam,1
仨,5121,saam,1
釤,5838,saam,1
穇,6819,saam,1
芟,6881,saam,1
糝,6834,saam,2
山,0219,saan,1
柵,2285,saan,1
拴,2627,saan,1
栓,2842,saan,1
珊,2954,saan,1
刪,3376,saan,1
姍,4260,saan,1
閂,4472,saan,1
膻,4679,saan,1
氙,4775,saan,1
跚,5098,saan,1
潸,5323,saan,1
舢,5797,saan,1
散,0762,saan,3
篡,2100,saan,3
傘,2261,saan,3
汕,3640,saan,3
訕,4223,saan,3
涮,4663,saan,3
疝,5625,saan,3
潺,3359,saan,4
生,0026,saang,1
笙,2611,saang,1
琤,3147,saang,1
甥,3709,saang,1
省,0404,saang,2
眚,4670,saang,2
霎,3751,saap,3
趿,4943,saap,3
颯,4953,saap,3
歃,6377,saap,3
靸,6552,saap,3
烚,7228,saap,6
殺,0842,saat,3
薩,1254,saat,3
撒,1927,saat,3
剎,2576,saat,3
煞,2891,saat,3
摋,6686,saat,3
鎩,7143,saat,3
梢,2651,saau,1
捎,3550,saau,1
艄,5007,saau,1
筲,5074,saau,1
蛸,6917,saau,1
稍,1344,saau,2
哨,2317,saau,3
潲,5450,saau,3
西,0244,sai,1
篩,1663,sai,1
硒,3311,sai,1
嘶,3369,sai,1
犀,3886,sai,1
茜,4616,sai,1
樨,4716,sai,1
粞,6187,sai,1
恓,6663,sai,1
使,0095,sai,2
洗,1074,sai,2
駛,1770,sai,2
世,0279,sai,3
細,0492,sai,3
勢,0533,sai,3
婿,3157,sai,3
貰,4193,sai,3
逝,2196,sai,6
誓,2222,sai,6
噬,3177,sai,6
澨,6743,sai,6
筮,6825,sai,6
揌,3960,sak,1
心,0141,sam,1
深,0398,sam,1
參,0478,sam,1
森,1389,sam,1
芯,1682,sam,1
琛,4415,sam,1
郴,4470,sam,1
綝,5347,sam,1
審,0806,sam,2
沈,1777,sam,2
嬸,2377,sam,2
瀋,3698,sam,2
伈,4256,sam,2
滲,1822,sam,3
沁,3441,sam,3
岑,3351,sam,4
忱,3619,sam,4
涔,5145,sam,4
諶,6505,sam,4
甚,0433,sam,6
什,0440,sam,6
葚,5490,sam,6
椹,5752,sam,6
新,0136,san,1
身,0318,san,1
伸,1052,san,1
辛,1356,san,1
申,1488,san,1
紳,1872,san,1
鋅,2099,san,1
薪,3041,san,1
呻,3498,san,1
砷,3987,san,1
娠,4766,san,1
珅,5940,san,1
莘,5983,san,1
燊,6410,san,1
詵,6503,san,1
甡,7409,san,1
神,0518,san,4
臣,1249,san,4
晨,1655,san,4
辰,2562,san,4
宸,4587,san,4
蜃,5495,san,4
慎,2218,san,6
腎,3054,san,6
胂,6200,san,6
牲,1634,sang,1
蹭,4022,sang,3
擤,5898,sang,3
濕,1053,sap,1
咂,4437,sap,1
溼,7439,sap,1
十,0064,sap,6
拾,2093,sap,6
失,0505,sat,1
室,0759,sat,1
膝,2630,sat,1
瑟,3137,sat,1
虱,3165,sat,1
蝨,7413,sat,1
實,0087,sat,6
湜,2774,sat,6
寔,4085,sat,6
收,0297,sau,1
修,0609,sau,1
羞,2384,sau,1
蒐,4564,sau,1
嗖,4826,sau,1
颼,5106,sau,1
脩,5353,sau,1
餿,5853,sau,1
溲,6395,sau,1
滫,6399,sau,1
饈,6558,sau,1
手,0230,sau,2
首,0499,sau,2
守,0789,sau,2
搜,1912,sau,2
艘,2379,sau,2
嗽,3421,sau,2
狩,4039,sau,2
擻,4327,sau,2
藪,5363,sau,2
叟,6074,sau,2
嗾,6604,sau,2
瞍,6805,sau,2
秀,1253,sau,3
瘦,1880,sau,3
繡,2191,sau,3
獸,2251,sau,3
銹,2696,sau,3
鏽,3471,sau,3
漱,3869,sau,3
琇,6424,sau,3
仇,2001,sau,4
愁,2197,sau,4
受,0290,sau,6
售,1318,sau,6
授,1352,sau,6
壽,1667,sau,6
綬,5005,sau,6
些,0113,se,1
賒,4801,se,1
寫,0447,se,2
捨,2195,se,2
揳,5054,se,2
舍,1549,se,3
卸,1901,se,3
赦,3013,se,3
瀉,3117,se,3
卌,4258,se,3
猞,4273,se,3
蛇,2553,se,4
佘,3778,se,4
社,0122,se,5
射,0668,se,6
麝,5113,se,6
死,0507,sei,2
四,0119,sei,3
錫,1697,sek,3
石,0364,sek,6
碩,3348,sek,6
鼫,5534,sek,6
聲,0333,seng,1
腥,2752,seng,1
需,0368,seoi,1
須,0401,seoi,1
雖,0630,seoi,1
衰,1818,seoi,1
綏,2940,seoi,1
胥,3302,seoi,1
睢,5333,seoi,1
濉,5608,seoi,1
荽,5984,seoi,1
嬃,6331,seoi,1
繻,6457,seoi,1
水,0075,seoi,2
糈,5968,seoi,2
醑,6525,seoi,2
歲,0960,seoi,3
稅,1001,seoi,3
碎,1148,seoi,3
帥,2329,seoi,3
挩,6678,seoi,3
誰,0868,seoi,4
垂,0910,seoi,4
陲,4431,seoi,4
緒,1617,seoi,5
絮,2857,seoi,5
髓,3064,seoi,5
墅,4138,seoi,5
悴,4650,seoi,5
睡,1324,seoi,6
瑞,1376,seoi,6
穗,1715,seoi,6
遂,2027,seoi,6
粹,2084,seoi,6
隧,3367,seoi,6
萃,3893,seoi,6
瘁,4120,seoi,6
彗,4238,seoi,6
邃,4252,seoi,6
燧,4305,seoi,6
祟,4610,seoi,6
詢,2332,seon,1
荀,3404,seon,1
殉,3937,seon,1
徇,4033,seon,1
洵,4483,seon,1
皴,4726,seon,1
郇,4884,seon,1
峋,5565,seon,1
恂,5570,seon,1
珣,5617,seon,1
逡,6017,seon,1
筍,2584,seon,2
榫,5436,seon,2
囟,6088,seon,2
信,0347,seon,3
迅,0749,seon,3
訊,1515,seon,3
瞬,2313,seon,3
汛,2457,seon,3
遜,2699,seon,3
舜,3403,seon,3
巽,4908,seon,3
噀,5407,seon,3
純,1017,seon,4
醇,1936,seon,4
唇,2381,seon,4
馴,3187,seon,4
淳,3484,seon,4
蓴,5807,seon,4
鶉,6046,seon,4
脣,7421,seon,4
楯,5916,seon,5
順,0869,seon,6
摔,2590,seot,1
恤,3721,seot,1
蟀,5092,seot,1
戌,6673,seot,1
窣,6821,seot,1
術,0287,seot,6
述,0663,seot,6
沭,3743,seot,6
秫,4215,seot,6
朮,5431,seot,6
思,0286,si,1
斯,0455,si,1
師,0544,si,1
施,0557,si,1
司,0593,si,1
絲,0711,si,1
詩,0932,si,1
私,1021,si,1
屍,1923,si,1
撕,2450,si,1
獅,2726,si,1
尸,3823,si,1
溮,3908,si,1
廝,4032,si,1
鍶,4623,si,1
鳲,4894,si,1
蓍,5009,si,1
颸,5188,si,1
釃,5680,si,1
澌,5931,si,1
罳,6461,si,1
鷥,6576,si,1
絁,6835,si,1
緦,6840,si,1
鰤,7045,si,1
俬,7414,si,1
偲,7415,si,1
葹,7416,si,1
螄,7417,si,1
史,0419,si,2
屎,3617,si,2
試,0587,si,3
肆,2437,si,3
嗜,3130,si,3
泗,3553,si,3
謚,3557,si,3
駟,5281,si,3
弒,5419,si,3
時,0022,si,4
匙,2910,si,4
鰣,4321,si,4
蒔,4374,si,4
塒,5721,si,4
市,0426,si,5
鈰,6531,si,5
是,0003,si,6
事,0124,si,6
示,0331,si,6
士,0566,si,6
視,0573,si,6
氏,1370,si,6
侍,2349,si,6
仕,3926,si,6
豉,4130,si,6
剚,4475,si,6
式,0201,sik,1
色,0260,sik,1
識,0476,sik,1
適,0477,sik,1
析,0707,sik,1
息,0782,sik,1
釋,1159,sik,1
悉,1648,sik,1
惜,1807,sik,1
飾,1922,sik,1
媳,2132,sik,1
晰,2370,sik,1
熄,2635,sik,1
昔,2813,sik,1
拭,3697,sik,1
銫,4045,sik,1
淅,4245,sik,1
蜥,4537,sik,1
軾,4618,sik,1
嗇,4762,sik,1
晢,4915,sik,1
奭,4972,sik,1
蟋,5013,sik,1
衋,5015,sik,1
皙,5464,sik,1
窸,5964,sik,1
襫,6223,sik,1
菥,6474,sik,1
骰,6565,sik,1
瘜,7425,sik,1
螅,7426,sik,1
裼,5500,sik,3
食,0586,sik,6
蝕,1685,sik,6
苫,5255,sim,1
閃,1266,sim,2
陝,1759,sim,2
睒,5466,sim,2
禪,3163,sim,3
掞,6680,sim,3
蟬,4222,sim,4
嬋,4350,sim,4
蟾,5368,sim,4
贍,4224,sim,6
先,0249,sin,1
鮮,0810,sin,1
仙,2086,sin,1
秈,5469,sin,1
躚,5829,sin,1
銑,3718,sin,2
冼,3976,sin,2
蘚,5011,sin,2
燹,5936,sin,2
獮,6419,sin,2
筅,6824,sin,2
癬,7429,sin,2
線,0137,sin,3
扇,1775,sin,3
腺,2503,sin,3
煽,2725,sin,3
霰,4319,sin,3
綪,5642,sin,3
跣,6237,sin,3
騸,6563,sin,3
搧,7428,sin,3
綫,7430,sin,3
澶,6742,sin,4
鱔,5193,sin,5
善,0816,sin,6
擅,2691,sin,6
羨,3164,sin,6
膳,3466,sin,6
繕,4011,sin,6
倩,4292,sin,6
嬗,6097,sin,6
升,0662,sing,1
星,0879,sing,1
昇,2887,sing,1
猩,3461,sing,1
惺,3549,sing,1
旌,5056,sing,1
騂,7027,sing,1
陞,7423,sing,1
醒,1630,sing,2
性,0103,sing,3
勝,0705,sing,3
姓,1421,sing,3
聖,1529,sing,3
煋,7422,sing,3
成,0034,sing,4
城,0611,sing,4
承,0671,sing,4
乘,1240,sing,4
繩,1395,sing,4
誠,1516,sing,4
丞,3056,sing,4
宬,5213,sing,4
郕,5834,sing,4
晟,7419,sing,4
盛,1103,sing,6
嵊,4263,sing,6
賸,7420,sing,6
涉,1226,sip,3
攝,1700,sip,3
懾,3585,sip,3
燮,3846,sip,3
灄,5324,sip,3
躞,6969,sip,3
竊,2257,sit,3
屑,2531,sit,3
泄,2542,sit,3
楔,2618,sit,3
薛,3055,sit,3
洩,3622,sit,3
褻,4429,sit,3
榍,5590,sit,3
紲,6189,sit,3
媟,6625,sit,3
渫,7431,sit,3
舌,2129,sit,6
消,0430,siu,1
燒,0748,siu,1
銷,0929,siu,1
硝,1717,siu,1
蕭,1919,siu,1
宵,3168,siu,1
霄,3295,siu,1
瀟,3809,siu,1
逍,4023,siu,1
簫,4124,siu,1
綃,5970,siu,1
翛,6857,siu,1
蠨,7433,siu,1
魈,7434,siu,1
小,0083,siu,2
少,0217,siu,2
筱,5167,siu,2
篠,7432,siu,2
笑,0616,siu,3
嘯,3317,siu,3
咲,7291,siu,3
韶,2989,siu,4
紹,0975,siu,6
邵,2021,siu,6
兆,2101,siu,6
肇,3607,siu,6
旐,5429,siu,6
劭,6592,siu,6
疏,1713,so,1
蔬,1866,so,1
梳,2289,so,1
梭,2435,so,1
唆,3035,so,1
羧,3194,so,1
嗦,3614,so,1
蓑,4068,so,1
娑,4478,so,1
挲,6356,so,1
簑,7435,so,1
所,0060,so,2
鎖,1632,so,2
瑣,3089,so,2
嗩,4107,so,2
璅,5943,so,2
傻,2734,so,4
削,1089,soek,3
勺,2577,soek,3
爍,3098,soek,3
鑠,4625,soek,3
杓,5227,soek,3
相,0127,soeng,1
商,0392,soeng,1
雙,0678,soeng,1
傷,0907,soeng,1
箱,1184,soeng,1
湘,2017,soeng,1
霜,2272,soeng,1
鑲,2524,soeng,1
廂,2622,soeng,1
襄,2836,soeng,1
觴,4379,soeng,1
驤,4504,soeng,1
熵,4849,soeng,1
孀,5133,soeng,1
緗,5643,soeng,1
瓖,5777,soeng,1
殤,6378,soeng,1
礵,6814,soeng,1
想,0179,soeng,2
賞,1638,soeng,2
鯗,4812,soeng,2
常,0196,soeng,4
償,1762,soeng,4
嘗,2131,soeng,4
倘,2239,soeng,4
裳,2986,soeng,4
嚐,4294,soeng,4
嫦,4831,soeng,4
徜,6104,soeng,4
上,0014,soeng,5
鞝,6271,soeng,5
尚,1135,soeng,6
鰓,3027,soi,1
腮,3444,soi,1
索,1118,sok,3
朔,3221,sok,3
蒴,3238,sok,3
搠,5894,sok,3
嗍,6602,sok,3
桑,1816,song,1
嗓,2475,song,1
爽,2253,song,2
塽,4702,song,2
搡,4983,song,2
顙,6038,song,2
喪,1881,song,3
蘇,0510,sou,1
鬚,2594,sou,1
騷,2644,sou,1
酥,2685,sou,1
搔,4035,sou,1
甦,4041,sou,1
繅,4421,sou,1
臊,4461,sou,1
穌,4673,sou,1
嫂,2032,sou,2
數,0139,sou,3
素,0406,sou,3
訴,0713,sou,3
塑,1124,sou,3
掃,1435,sou,3
溯,3116,sou,3
愫,4399,sou,3
愬,4652,sou,3
嗉,5550,sou,3
縮,0871,suk,1
肅,1507,suk,1
叔,1789,suk,1
宿,2005,suk,1
蓿,2992,suk,1
粟,3591,suk,1
蹜,4468,suk,1
夙,4765,suk,1
倏,4822,suk,1
謖,5668,suk,1
儵,5707,suk,1
僳,6064,suk,1
屬,0479,suk,6
熟,0794,suk,6
淑,2490,suk,6
蜀,2880,suk,6
贖,2942,suk,6
孰,3132,suk,6
塾,3998,suk,6
菽,5008,suk,6
妯,5212,suk,6
鬆,1578,sung,1
崧,3111,sung,1
淞,3884,sung,1
忪,5420,sung,1
菘,6475,sung,1
娀,6622,sung,1
嵩,7437,sung,1
聳,2979,sung,2
慫,4168,sung,2
悚,4444,sung,2
竦,5339,sung,2
送,0615,sung,3
宋,1195,sung,3
崇,1765,sung,4
書,0388,syu,1
輸,0607,syu,1
舒,1891,syu,1
樞,2391,syu,1
抒,2767,syu,1
攄,4913,syu,1
紓,5078,syu,1
樗,6131,syu,1
鼠,2299,syu,2
暑,2607,syu,2
黍,3925,syu,2
癙,4725,syu,2
戍,2754,syu,3
庶,2912,syu,3
恕,3562,syu,3
殊,1157,syu,4
薯,1769,syu,4
殳,3097,syu,4
洙,5926,syu,4
樹,0559,syu,6
豎,2189,syu,6
腧,5794,syu,6
澍,5930,syu,6
酸,0424,syun,1
宣,0676,syun,1
孫,0945,syun,1
蓀,3312,syun,1
悛,6107,syun,1
飧,6555,syun,1
揎,6681,syun,1
朘,6700,syun,1
瑄,7240,syun,1
猻,7436,syun,1
選,0445,syun,2
損,0773,syun,2
算,0382,syun,3
蒜,2647,syun,3
船,0617,syun,4
旋,1066,syun,4
璇,3577,syun,4
漩,3885,syun,4
鏇,6541,syun,4
吮,4030,syun,5
雋,4952,syun,5
篆,4931,syun,6
鐫,5382,syun,6
說,0048,syut,3
雪,1092,syut,3
鱈,6282,syut,3
Ｔ,7463,Ｔ
他,0021,taa,1
它,0107,taa,1
她,0229,taa,1
怹,4981,taa,1
牠,5153,taa,1
鉈,6030,taa,1
祂,7441,taa,1
佗,4505,taa,4
呔,6598,taai,1
太,0434,taai,3
態,0553,taai,3
泰,1363,taai,3
貸,1676,taai,3
汰,2693,taai,3
鈦,3284,taai,3
殢,7442,taai,3
軚,7445,taai,3
貪,1959,taam,1
毯,2646,taam,2
菼,6208,taam,2
撢,7444,taam,2
探,0990,taam,3
談,0516,taam,4
譚,2258,taam,4
潭,2425,taam,4
曇,2556,taam,4
覃,4018,taam,4
痰,4213,taam,4
罈,5349,taam,4
郯,5519,taam,4
鐔,6035,taam,4
倓,6585,taam,4
醰,6986,taam,4
錟,6991,taam,4
淡,1335,taam,5
贉,6960,taam,5
灘,1662,taan,1
攤,2041,taan,1
癱,3428,taan,1
坍,4235,taan,1
坦,1199,taan,2
袒,3894,taan,2
疸,4365,taan,2
亶,4579,taan,2
忐,5421,taan,2
碳,1035,taan,3
炭,1439,taan,3
嘆,1843,taan,3
歎,5754,taan,3
壇,2358,taan,4
檀,3674,taan,4
塔,1062,taap,3
塌,2710,taap,3
榻,4175,taap,3
鰨,5389,taap,3
闒,5846,taap,3
遢,6244,taap,3
褟,6937,taap,3
韃,2937,taat,3
梯,1660,tai,1
銻,3514,tai,1
體,0091,tai,2
睇,6434,tai,2
替,1130,tai,3
屜,3133,tai,3
涕,3289,tai,3
剃,3955,tai,3
嚏,5037,tai,3
薙,5992,tai,3
提,0182,tai,4
題,0184,tai,4
堤,2205,tai,4
蹄,2757,tai,4
啼,3102,tai,4
隄,4811,tai,4
鵜,5858,tai,4
鯷,6569,tai,4
綈,6836,tai,4
緹,6839,tai,4
醍,6985,tai,4
鶗,7055,tai,4
稊,7443,tai,4
氹,7462,tam,5
吞,2070,tan,1
飩,4692,tan,1
暾,6699,tan,1
褪,3535,tan,3
騰,1537,tang,4
藤,2604,tang,4
滕,4410,tang,4
籐,5474,tang,4
謄,5820,tang,4
偷,1847,tau,1
透,1064,tau,3
頭,0210,tau,4
投,0648,tau,4
踢,2661,tek,3
廳,1768,teng,1
艇,2072,teng,5
推,0514,teoi,1
腿,1285,teoi,2
退,1073,teoi,3
蛻,2958,teoi,3
頹,3434,teoi,4
隤,4951,teoi,4
穨,5163,teoi,4
湍,3358,teon,1
盾,0833,teon,5
惕,2677,tik,1
剔,3142,tik,1
倜,4635,tik,1
忒,5049,tik,1
逖,5183,tik,1
忑,5307,tik,1
擿,6687,tik,1
鋱,7446,tik,1
添,1712,tim,1
舔,4188,tim,2
忝,5889,tim,2
甜,1826,tim,4
湉,4454,tim,4
菾,6893,tim,4
恬,4050,tim,5
簟,5001,tim,5
天,0117,tin,1
腆,4280,tin,2
瑱,6779,tin,3
田,0599,tin,4
填,1546,tin,4
畋,4457,tin,4
闐,6269,tin,4
